station_name,poi_distance_from_bike_stn,free_bikes,review_count,rating
"003470 - Great Percy Street, Clerkenwell",206.8,14.0,64.4,4.3
"001023 - River Street , Clerkenwell",337.2,4.0,137.0,4.0
"002586 - Cloudesley Road, Angel",338.3,20.0,85.6,4.2
"003461 - Sloane Avenue, Knightsbridge",223.3,26.0,187.6,4.3
"001039 - Wapping High Street, Wapping",505.4,14.0,117.4,4.2
"003464 - Green Street, Mayfair",292.0,9.0,109.6,4.2
"000999 - Queen Street 1, Bank",151.2,7.0,91.0,4.2
"000978 - Russell Square Station, Bloomsbury",142.0,16.0,113.0,4.0
"001084 - Pindar Street, Liverpool Street",325.0,1.0,137.0,4.0
"001034 - Bruton Street, Mayfair",95.8,13.0,137.0,4.0
"000982 - Holborn Circus, Holborn",186.8,4.0,73.4,4.1
"001092 - Moorfields, Moorgate",237.5,0.0,63.0,4.2
"003431 - Grafton Street, Mayfair",234.7,17.0,295.2,4.2
"001029 - Windsor Terrace, Hoxton",379.6,23.0,31.0,4.5
"001112 - Nutford Place, Marylebone",231.5,12.0,73.5,4.0
"001050 - Park Road (Baker Street), The Regent's Park",249.7,6.0,102.3,3.9
"003486 - St. Luke's Church, Chelsea",310.4,18.0,97.0,4.2
"001153 - Pall Mall East, West End",198.0,21.0,356.5,4.2
"001042 - Woodstock Street, Mayfair",154.6,3.0,137.0,4.0
"001055 - Wellington Road, St. John's Wood",362.5,2.0,27.0,4.1
"001139 - Carey Street, Holborn",241.0,1.0,374.0,4.0
"003473 - Belgrave Square, Belgravia",403.7,16.0,175.6,4.2
"003456 - Portugal Street, Holborn",259.3,0.0,108.3,4.3
"003481 - Rodney Road , Walworth",773.5,11.0,30.0,4.2
"001074 - Newgate Street , St. Paul's",75.5,1.0,137.0,4.0
"001080 - Great Tower Street, Monument",138.0,10.0,129.0,3.9
"001167 - South Wharf Road, Paddington",258.3,3.0,85.2,4.1
"001047 - Falkirk Street, Hoxton",203.0,24.0,91.0,4.0
"001048 - Queen Victoria Street, St. Paul's",231.0,2.0,83.5,4.5
"001064 - Old Street Station, St. Luke's",152.8,13.0,100.8,4.2
"000995 - Little Argyll Street, West End",249.4,15.0,362.6,4.2
"000993 - Drummond Street , Euston",192.2,8.0,93.5,4.1
"001025 - Bolsover Street, Fitzrovia",282.8,1.0,79.2,4.4
"003457 - Rochester Row, Westminster",209.4,1.0,290.0,4.3
"001123 - Southampton Place, Holborn",230.2,0.0,330.4,4.4
"001033 - Paddington Street, Marylebone",170.1,13.0,121.4,4.1
"001115 - Ilchester Place, Kensington",280.6,7.0,85.7,4.0
"003476 - Hinde Street, Marylebone",130.6,15.0,151.8,4.3
"001046 - Vauxhall Bridge , Pimlico",412.8,9.0,68.3,4.4
"001116 - Emperor's Gate, South Kensington",206.7,7.0,84.8,4.1
"003445 - Shoreditch High Street, Shoreditch",198.8,36.0,166.2,4.0
"001079 - Endsleigh Gardens, Euston",234.0,25.0,84.0,4.2
"001036 - Crawford Street, Marylebone",123.4,2.0,137.0,4.0
"001009 - Taviton Street, Bloomsbury",370.4,2.0,118.0,4.0
"003468 - Margery Street, Clerkenwell",211.6,1.0,65.4,4.2
"002585 - Orsett Terrace, Bayswater",374.3,1.0,74.1,4.1
"001054 - East Road, Hoxton",224.7,8.0,80.0,4.5
"000960 - Hop Exchange, The Borough",191.7,46.0,136.9,4.1
